system size,bandwidth,filling range,absolute error,relative error
4,3,"[1.0, 10.0]",1.7763568394002505e-15,3.877061777520734e-16
4,3,"[1.0, 10.0]",3.552713678800501e-15,1.6709809503623684e-15
4,3,"[1.0, 10.0]",1.3322676295501878e-15,5.88761109033899e-16
8,3,"[1.0, 10.0]",5.329070518200751e-15,1.0902049041532992e-15
8,3,"[1.0, 10.0]",2.220446049250313e-15,8.172271357170225e-16
8,5,"[1.0, 10.0]",3.552713678800501e-15,8.07650742030897e-16
16,3,"[1.0, 10.0]",5.329070518200751e-15,8.255787327503502e-16
16,5,"[1.0, 10.0]",3.552713678800501e-15,1.4058765034479256e-15
16,11,"[1.0, 10.0]",3.552713678800501e-15,1.3737470389671074e-15
32,3,"[1.0, 10.0]",6.217248937900877e-15,1.3541036760943749e-15
32,11,"[1.0, 10.0]",5.329070518200751e-15,6.984556774985824e-16
32,25,"[1.0, 10.0]",7.105427357601002e-15,1.8405375851953616e-15
64,5,"[1.0, 10.0]",3.552713678800501e-15,1.3426776595869126e-15
64,25,"[1.0, 10.0]",5.329070518200751e-15,2.1549494362295586e-15
64,51,"[1.0, 10.0]",7.993605777301127e-15,1.4114292033211102e-15
128,11,"[1.0, 10.0]",5.329070518200751e-15,1.6556545630741939e-15
128,51,"[1.0, 10.0]",8.881784197001252e-15,2.2554135327635046e-15
128,101,"[1.0, 10.0]",9.769962616701378e-15,3.716764830547889e-15
256,25,"[1.0, 10.0]",7.105427357601002e-15,1.8957885772869364e-15
256,101,"[1.0, 10.0]",1.4210854715202004e-14,3.0724593736723514e-15
256,203,"[1.0, 10.0]",1.9539925233402755e-14,5.918436163463219e-15
512,51,"[1.0, 10.0]",1.0658141036401503e-14,2.2152966955375962e-15
512,203,"[1.0, 10.0]",1.5987211554602254e-14,4.576550834857416e-15
512,409,"[1.0, 10.0]",2.4868995751603507e-14,9.93274734028658e-15
1024,101,"[1.0, 10.0]",1.4210854715202004e-14,5.717138714877078e-15
1024,409,"[1.0, 10.0]",2.1316282072803006e-14,6.808560358792436e-15
1024,819,"[1.0, 10.0]",3.730349362740526e-14,1.4174591012890386e-14
4,3,"[1.0, 100.0]",1.4210854715202004e-14,2.6879388114352195e-15
4,3,"[1.0, 100.0]",4.263256414560601e-14,1.0005028594219366e-15
4,3,"[1.0, 100.0]",5.684341886080802e-14,2.758854276439251e-15
8,3,"[1.0, 100.0]",1.0658141036401503e-13,5.931720245920107e-15
8,3,"[1.0, 100.0]",5.684341886080802e-14,1.738803512694341e-14
8,5,"[1.0, 100.0]",5.684341886080802e-14,6.915934946812477e-16
16,3,"[1.0, 100.0]",2.5579538487363607e-13,8.815371546509025e-15
16,5,"[1.0, 100.0]",4.263256414560601e-14,4.809964625089313e-15
16,11,"[1.0, 100.0]",2.842170943040401e-14,3.680410223529042e-15
32,3,"[1.0, 100.0]",1.5631940186722204e-13,2.5269240525503416e-14
32,11,"[1.0, 100.0]",3.197442310920451e-14,1.249255541418366e-15
32,25,"[1.0, 100.0]",5.684341886080802e-14,1.7018953629498946e-15
64,5,"[1.0, 100.0]",1.1368683772161603e-13,2.6774128479127542e-15
64,25,"[1.0, 100.0]",7.105427357601002e-14,2.2058190314962828e-15
64,51,"[1.0, 100.0]",8.526512829121202e-14,2.2704744350996063e-15
128,11,"[1.0, 100.0]",5.684341886080802e-14,2.549810956342746e-15
128,51,"[1.0, 100.0]",7.105427357601002e-14,5.371170346695783e-15
128,101,"[1.0, 100.0]",8.526512829121202e-14,3.605192750737846e-15
256,25,"[1.0, 100.0]",7.105427357601002e-14,7.74550554794526e-15
256,101,"[1.0, 100.0]",1.1368683772161603e-13,1.1653767756983362e-14
256,203,"[1.0, 100.0]",1.9895196601282805e-13,1.5536271126879093e-14
512,51,"[1.0, 100.0]",9.947598300641403e-14,1.0631306224154029e-14
512,203,"[1.0, 100.0]",1.7053025658242404e-13,2.739469022515665e-14
512,409,"[1.0, 100.0]",2.7000623958883807e-13,3.764006859440967e-14
1024,101,"[1.0, 100.0]",1.5631940186722204e-13,1.6381936755767238e-14
1024,409,"[1.0, 100.0]",2.5579538487363607e-13,3.9895458587465053e-14
1024,819,"[1.0, 100.0]",3.836930773104541e-13,7.079578165133268e-14
4,3,"[1.0, 1000.0]",2.1032064978498966e-11,1.2078875616752138e-11
4,3,"[1.0, 1000.0]",4.618527782440651e-12,7.316771960349289e-14
4,3,"[1.0, 1000.0]",3.342393029015511e-11,6.824711562215792e-14
8,3,"[1.0, 1000.0]",1.1482370609883219e-11,3.233361681842933e-14
8,3,"[1.0, 1000.0]",6.366462912410498e-12,1.4960945608227592e-13
8,5,"[1.0, 1000.0]",4.547473508864641e-13,2.0358846538131423e-14
16,3,"[1.0, 1000.0]",1.261923898709938e-11,1.6664064788423671e-13
16,5,"[1.0, 1000.0]",3.410605131648481e-13,1.7154748530985357e-14
16,11,"[1.0, 1000.0]",2.8421709430404007e-13,8.16323921283646e-16
32,3,"[1.0, 1000.0]",8.981260180007666e-12,2.853942958059466e-13
32,11,"[1.0, 1000.0]",4.547473508864641e-13,7.701010244333378e-16
32,25,"[1.0, 1000.0]",5.684341886080801e-13,1.3370005348981418e-15
64,5,"[1.0, 1000.0]",4.547473508864641e-13,9.167346753727087e-15
64,25,"[1.0, 1000.0]",9.094947017729282e-13,3.3852538606754756e-15
64,51,"[1.0, 1000.0]",5.684341886080801e-13,1.9797478303026854e-14
128,11,"[1.0, 1000.0]",4.547473508864641e-13,2.2028467613557578e-14
