system size,bandwidth,filling range,absolute error,relative error
4,3,"[1.0, 10.0]",7.105427357601002e-15,6.240868170709181e-15
4,3,"[1.0, 10.0]",1.1102230246251565e-14,5.424237966310106e-15
4,3,"[1.0, 10.0]",6.217248937900877e-15,1.3919066345934333e-15
8,3,"[1.0, 10.0]",6.439293542825908e-15,3.2453406294783206e-15
8,3,"[1.0, 10.0]",9.769962616701378e-15,1.598717104708243e-15
8,5,"[1.0, 10.0]",1.0658141036401503e-14,2.8744793198735585e-15
16,3,"[1.0, 10.0]",9.769962616701378e-15,2.542735587923087e-15
16,5,"[1.0, 10.0]",1.0658141036401503e-14,2.389622463124683e-15
16,11,"[1.0, 10.0]",6.217248937900877e-15,2.3779202385844713e-15
32,3,"[1.0, 10.0]",3.552713678800501e-15,6.665738571218139e-16
32,11,"[1.0, 10.0]",1.5987211554602254e-14,7.540705731233598e-15
32,25,"[1.0, 10.0]",1.2079226507921703e-13,5.198656093223392e-14
64,5,"[1.0, 10.0]",1.554312234475219e-14,6.8404618436890374e-15
64,25,"[1.0, 10.0]",6.039613253960852e-14,3.812645170805437e-14
64,51,"[1.0, 10.0]",6.128431095930864e-14,3.520713347315455e-14
128,11,"[1.0, 10.0]",3.042011087472929e-14,2.1893080519794747e-14
128,51,"[1.0, 10.0]",6.972200594645983e-14,4.757254115479265e-14
128,101,"[1.0, 10.0]",1.723066134218243e-13,9.871564939044061e-14
256,25,"[1.0, 10.0]",4.440892098500626e-14,3.361420555293984e-14
256,101,"[1.0, 10.0]",5.5067062021407764e-14,3.0688378318009623e-14
256,203,"[1.0, 10.0]",2.7355895326763857e-13,1.7639045061855018e-13
512,51,"[1.0, 10.0]",1.3145040611561853e-13,8.102733743970423e-14
512,203,"[1.0, 10.0]",2.113864638886298e-13,1.2750467900869316e-13
512,409,"[1.0, 10.0]",4.654054919228656e-13,2.7095432621877687e-13
1024,101,"[1.0, 10.0]",4.263256414560601e-14,2.7008739337980427e-14
1024,409,"[1.0, 10.0]",2.984279490192421e-13,1.9539630273628203e-13
1024,819,"[1.0, 10.0]",4.991562718714704e-13,4.3255775158878075e-13
4,3,"[1.0, 100.0]",4.973799150320701e-14,8.617308532208118e-16
4,3,"[1.0, 100.0]",4.973799150320701e-13,1.6281615327878828e-14
4,3,"[1.0, 100.0]",1.8474111129762605e-12,3.940520456543538e-14
8,3,"[1.0, 100.0]",7.815970093361102e-14,2.636912463307526e-15
8,3,"[1.0, 100.0]",5.400124791776761e-13,3.088100005105488e-14
8,5,"[1.0, 100.0]",7.105427357601002e-13,3.578917089338864e-14
16,3,"[1.0, 100.0]",7.673861546209082e-13,9.847852379092009e-15
16,5,"[1.0, 100.0]",4.263256414560601e-13,2.1857975320894413e-14
16,11,"[1.0, 100.0]",5.215383680479135e-12,6.440830496501904e-13
32,3,"[1.0, 100.0]",1.474376176702208e-13,7.323820407458853e-14
32,11,"[1.0, 100.0]",1.5578649481540197e-12,4.812138872612998e-13
32,25,"[1.0, 100.0]",8.22808488010196e-12,6.641670006171962e-13
64,5,"[1.0, 100.0]",2.4300561562995426e-12,2.1261054189507396e-13
64,25,"[1.0, 100.0]",1.8118839761882555e-12,2.679471534084646e-13
64,51,"[1.0, 100.0]",1.978861519091879e-11,3.879417865153165e-12
128,11,"[1.0, 100.0]",3.652189661806915e-12,1.4819090933710618e-12
128,51,"[1.0, 100.0]",8.853362487570848e-12,3.2444280867897918e-12
128,101,"[1.0, 100.0]",2.6616930881573353e-11,6.195047000490879e-12
256,25,"[1.0, 100.0]",1.0444978215673473e-12,3.5933546857566383e-13
256,101,"[1.0, 100.0]",1.3855583347321954e-11,5.4032733711062845e-12
256,203,"[1.0, 100.0]",2.7711166694643907e-11,1.0300369012171438e-11
512,51,"[1.0, 100.0]",4.206412995699793e-12,8.186210530154598e-13
512,203,"[1.0, 100.0]",5.583444817602867e-11,2.3765535868469252e-11
512,409,"[1.0, 100.0]",6.350830972223775e-11,2.961926902477529e-11
1024,101,"[1.0, 100.0]",1.2470025012589758e-12,3.8762652933502625e-13
1024,409,"[1.0, 100.0]",2.5798030378609837e-11,8.275512911411437e-12
1024,819,"[1.0, 100.0]",2.007993771258043e-11,1.4637689270882746e-11
4,3,"[1.0, 1000.0]",9.322320693172514e-12,4.041215367623829e-14
4,3,"[1.0, 1000.0]",6.923528417246416e-11,9.352671205269801e-14
4,3,"[1.0, 1000.0]",1.1993961379630491e-11,4.194088734922173e-14
8,3,"[1.0, 1000.0]",1.1050360626541078e-10,5.868099152237957e-13
8,3,"[1.0, 1000.0]",5.0249582272954285e-11,1.6738815549887485e-13
8,5,"[1.0, 1000.0]",1.800799509510398e-10,1.596013810759866e-12
16,3,"[1.0, 1000.0]",5.900346877751872e-11,7.475631628806468e-12
16,5,"[1.0, 1000.0]",1.3073986337985843e-11,1.1133597625710604e-13
16,11,"[1.0, 1000.0]",1.2185807918285718e-10,1.2903413724264936e-12
32,3,"[1.0, 1000.0]",4.934008757118136e-11,1.0035434440675229e-13
32,11,"[1.0, 1000.0]",5.256879376247525e-10,4.046666689343217e-12
32,25,"[1.0, 1000.0]",2.8069280233467e-10,9.6802879008751e-12
64,5,"[1.0, 1000.0]",2.2646418074145913e-10,9.203345463412575e-13
64,25,"[1.0, 1000.0]",5.481979314936325e-10,1.6116949826665607e-11
64,51,"[1.0, 1000.0]",9.187033356283791e-10,1.1035323441395404e-11
128,11,"[1.0, 1000.0]",3.751665644813329e-12,5.5324321933835916e-14
128,51,"[1.0, 1000.0]",2.9056757000489597e-10,1.675470461949828e-10
128,101,"[1.0, 1000.0]",4.127969077671878e-10,2.417076714011875e-12
256,25,"[1.0, 1000.0]",1.6854073692229576e-10,7.496541965043165e-12
256,101,"[1.0, 1000.0]",2.148340172425378e-09,9.934459135696515e-11
256,203,"[1.0, 1000.0]",1.1358451956766658e-09,4.102797461865049e-10
512,51,"[1.0, 1000.0]",3.830109562841244e-10,1.919261264174697e-10
512,203,"[1.0, 1000.0]",4.083972271473613e-09,3.466874863048967e-10
512,409,"[1.0, 1000.0]",9.397410849487642e-09,1.7865966269221814e-09
1024,101,"[1.0, 1000.0]",5.277343007037416e-10,5.677800864431491e-11
1024,409,"[1.0, 1000.0]",2.3645441160624614e-10,6.564671576384865e-11
1024,819,"[1.0, 1000.0]",8.115307537082117e-09,3.5071970679784235e-09
